39.0	1.13449042461e-10
38.9668375559	1.16818054516e-10
38.9337026055	1.2027581301e-10
38.9005951259	1.23824304447e-10
38.8675150946	1.27465582656e-10
38.8344624885	1.31201793859e-10
38.8014372851	1.35035041047e-10
38.7684394616	1.38967473074e-10
38.7354689954	1.43001300445e-10
38.7025258636	1.47138881844e-10
38.6696100437	1.51382455366e-10
38.6367215131	1.55734310094e-10
38.603860249	1.60196822198e-10
38.571026229	1.64772498109e-10
38.5382194303	1.69819314567e-10
38.5054398305	1.75205152899e-10
38.472687407	1.80742482245e-10
38.4399621373	1.86435061548e-10
38.4072639988	1.92286606068e-10
38.374592969	1.98300907244e-10
38.3419490256	2.04481868577e-10
38.3093321459	2.10833623254e-10
38.2767423077	2.1736016265e-10
38.2441794884	2.24065554536e-10
38.2116436656	2.30954018392e-10
38.1791348171	2.38029952472e-10
38.1466529204	2.45297700206e-10
38.1141979531	2.52761683494e-10
38.081769893	2.60426456464e-10
38.0493687178	2.68296780834e-10
38.0169944051	2.763773356e-10
37.9846469327	2.84672877839e-10
37.9523262783	2.93188315763e-10
37.9200324197	3.01928862467e-10
37.8877653347	3.10899527891e-10
37.8555250011	3.20105388132e-10
37.8233113967	3.29551725874e-10
37.7911244994	3.39244046541e-10
37.7589642869	3.49187781472e-10
37.7268307372	3.59388439486e-10
37.6947238282	3.69851698091e-10
37.6626435378	3.80583516262e-10
37.6305898439	3.91589713669e-10
37.5985627245	4.02876177073e-10
37.5665621575	4.14449000055e-10
37.534588121	4.26314674123e-10
37.5026405929	4.3847941402e-10
37.4707195512	4.50949470946e-10
37.438824974	4.63731376718e-10
37.4069568394	4.76831939019e-10
37.3751151254	4.90257867404e-10
37.3432998101	5.0401593839e-10
37.3115108717	5.18113143881e-10
37.2797482883	5.32556855922e-10
37.2480120379	5.47354230074e-10
37.2163020989	5.62512454422e-10
37.1846184493	5.78039003897e-10
37.1529610674	5.93941863733e-10
37.1213299315	6.10228659061e-10
37.0897250196	6.26906992235e-10
37.0581463102	6.43984844933e-10
37.0265937815	6.61470539967e-10
36.9950674117	6.79372271529e-10
36.9635671792	6.97698274569e-10
36.9320930623	7.16457060642e-10
36.9006450394	7.35657650995e-10
36.8692230888	7.55308751451e-10
36.837827189	7.75419026059e-10
36.8064573183	7.95997540694e-10
36.7751134551	8.17054004066e-10
36.7437955778	8.38597676486e-10
36.7125036651	8.60637693944e-10
36.6812376952	8.83183701662e-10
36.6499976467	9.06245767857e-10
36.6187834981	9.29833793196e-10
36.587595228	9.5395766717e-10
36.5564328148	9.7862763846e-10
36.5252962372	1.00385463197e-09
36.4941854738	1.03119270269e-09
36.463100503	1.06070597958e-09
36.4320413036	1.09095855473e-09
36.4010078541	1.12196673451e-09
36.3700001333	1.15374639069e-09
36.3390181198	1.18631320611e-09
36.3080617923	1.21968365014e-09
36.2771311294	1.25387483371e-09
36.24622611	1.28890375382e-09
36.2153467127	1.3247874037e-09
36.1844929163	1.36154336692e-09
36.1536646996	1.3991902467e-09
36.1228620414	1.43774617837e-09
36.0920849204	1.47722897989e-09
36.0613333156	1.51765740077e-09
36.0306072057	1.55905131358e-09
35.9999065697	1.6014300729e-09
35.9692313863	1.64481259772e-09
35.9385816346	1.68921885553e-09
35.9079572934	1.73466962766e-09
35.8773583416	1.78118552651e-09
35.8467847582	1.8287869984e-09
35.8162365222	1.87749527937e-09
35.7857136126	1.92725699501e-09
35.7552160083	1.97816631894e-09
35.7247436883	2.03024438349e-09
35.6942966318	2.0835136272e-09
35.6638748178	2.13799774453e-09
35.6334782253	2.1937199517e-09
35.6031068335	2.25070278359e-09
35.5727606213	2.30897004328e-09
35.5424395681	2.36854656834e-09
35.5121436528	2.4294569624e-09
35.4818728548	2.49172537102e-09
35.451627153	2.55537701318e-09
35.4214065268	2.62043881481e-09
35.3912109554	2.68693697351e-09
35.3610404179	2.75489635185e-09
35.3308948936	2.82434363964e-09
35.3007743618	2.89530686877e-09
35.2706788018	2.96781370982e-09
35.2406081928	3.04189090605e-09
35.2105625142	3.11756667031e-09
35.1805417453	3.1948705388e-09
35.1505458655	3.27383175894e-09
35.1205748541	3.35447862879e-09
35.0906286905	3.43684093646e-09
35.060707354	3.52095062234e-09
35.0308108242	3.60683884261e-09
35.0009390805	3.6945344818e-09
34.9710921022	3.78406895898e-09
34.9412698689	3.87547525098e-09
34.9114723601	3.96878603811e-09
34.8816995552	4.06403255862e-09
34.8519514338	4.16124791389e-09
34.8222279754	4.2604668988e-09
34.7925291596	4.36172400333e-09
34.7628549659	4.46505196538e-09
34.7332053739	4.5704856206e-09
34.7035803633	4.6780624642e-09
34.6739799136	4.78781927132e-09
34.6444040044	4.89978919222e-09
34.6148526155	5.01400885241e-09
34.5853257266	5.13051666456e-09
34.5558233172	5.25458254549e-09
34.5263453671	5.39016085974e-09
34.496891856	5.52875546534e-09
34.4674627637	5.67042346545e-09
34.4380580699	5.81522204739e-09
34.4086777544	5.96320564758e-09
34.379321797	6.11443200341e-09
34.3499901774	6.26896243323e-09
34.3206828756	6.42685811687e-09
34.2913998713	6.58817491344e-09
34.2621411444	6.75297377403e-09
34.2329066748	6.9213180576e-09
34.2036964423	7.09327152523e-09
34.1745104269	7.26889506161e-09
34.1453486085	7.44825292964e-09
34.116210967	7.63141253965e-09
34.0870974824	7.81844168244e-09
34.0580081347	8.00940332308e-09
34.0289429038	8.20436513872e-09
33.9999017698	8.40339912606e-09
33.9708847126	8.60657773034e-09
33.9418917124	8.81396525208e-09
33.9129227491	9.02563288872e-09
